Geneid	Chr	Start	End	Strand	Length	S1_control	S2_control	S3_control	S4_KO	S5_KO	S6_KO
DDX11L1	chr1;chr1;chr1	11874;12613;13221	12227;12721;14409	+;+;+	1652	0	2	4	10	12	15
WASH7P	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	14362;14970;15796;16607;16858;17233;17606;17915;18268;24738;29321	14829;15038;15947;16765;17055;17368;17742;18061;18366;24891;29370	-;-;-;-;-;-;-;-;-;-;-	1769	1	3	5	11	13	16
FAM138A	chr1;chr1;chr1;chr19;chr19;chr19	34611;35277;35721;76220;76886;77330	35174;35481;36081;76783;77090;77690	-;-;-;-;-;-	2260	2	4	6	12	14	17
FAM138F	chr1;chr1;chr1;chr19;chr19;chr19	34611;35277;35721;76220;76886;77330	35174;35481;36081;76783;77090;77690	-;-;-;-;-;-	2260	3	5	7	13	15	18
OR4F5	chr1	69091	70008	+	918	4	6	8	14	16	19
LOC729737	chr1;chr1;chr1	134773;139790;140075	139696;139847;140566	-;-;-	5474	5	7	9	15	17	20
LOC100132287	chr1;chr1;chr1;chr5;chr5;chr5	323892;324288;324439;180750507;180750903;180751054	324060;324345;328581;180750675;180750960;180755196	+;+;+;+;+;+	8740	6	8	10	16	18	21
LOC100132062	chr1;chr1;chr1;chr5;chr5;chr5	323892;324288;324439;180750507;180750903;180751054	324060;324345;328581;180750675;180750960;180755196	+;+;+;+;+;+	8740	7	9	11	17	19	22
LOC100133331	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr5;chr5;chr5;chr5	323892;324288;324439;327036;661139;665278;665563;180750507;180750903;180751054;180753651	324060;324345;326938;328581;665184;665335;665731;180750675;180750960;180753553;180755196	+;+;+;+;-;-;-;+;+;+;+	12819	8	10	12	18	20	23
OR4F29	chr1;chr1;chr5	367659;621096;180794288	368597;622034;180795226	+;-;+	2817	9	11	13	19	21	24
OR4F16	chr1;chr1;chr5	367659;621096;180794288	368597;622034;180795226	+;-;+	2817	10	12	14	20	22	25
OR4F3	chr1;chr1;chr5	367659;621096;180794288	368597;622034;180795226	+;-;+	2817	11	13	15	21	23	26
LOC100288069	chr1;chr1;chr1;chr1;chr1;chr1;chr1	700245;701709;703928;704877;708356;709551;713664	700627;701767;703993;705092;708487;709660;714068	-;-;-;-;-;-;-	1371	12	14	16	22	24	27
LINC00115	chr1	761586	762902	-	1317	13	15	17	23	25	28
LOC643837	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	762971;763178;764383;776580;783034;787307;788051;788771	763155;763229;764484;778984;783186;787490;788146;794826	+;+;+;+;+;+;+;+	9233	14	16	18	24	26	29
FAM41C	chr1;chr1;chr1	803451;809492;812126	804055;810535;812182	-;-;-	1706	15	17	19	25	27	30
LOC100130417	chr1;chr1;chr1;chr1	852953;853402;854205;854715	853100;853555;854295;854817	-;-;-;-	496	16	18	20	26	28	31
SAMD11	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	861121;861302;865535;866419;871152;874420;874655;876524;877516;877790;877939;878633;879078;879288	861180;861393;865716;866469;871276;874509;874840;876686;877631;877868;878438;878757;879188;879961	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2554	17	19	21	27	29	32
NOC2L	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	879583;880437;880898;881553;881782;883511;883870;886507;887380;887792;888555;889162;889384;891303;891475;892274;892479;894309;894595	880180;880526;881033;881666;881925;883612;883983;886618;887519;887980;888668;889272;889462;891393;891595;892405;892653;894461;894679	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2800	18	20	22	28	30	33
KLHL17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	895967;896673;897009;897206;897735;898084;898489;898717;899300;899487;899729;900343	896180;896932;897130;897427;897851;898297;898633;898884;899388;899560;899910;901099	+;+;+;+;+;+;+;+;+;+;+;+	2564	19	21	23	29	31	34
PLEKHN1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	901877;902084;905657;905901;906066;906259;906457;906704;907455;907668;908241;908566;908880;909213;909696;909822	901994;902183;905803;905981;906138;906386;906588;906784;907530;907804;908390;908706;909020;909431;909744;910484	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2436	20	22	24	30	32	35
